"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",4738.08959229585,4613.21470781803,4436.34591146208,4219.04099083714,4061.96978297829,3897.42556446966,3791.01108991236,3742.9196496522,3729.3806856154,3721.85058535377
"2",4788.02383276546,4663.14894828763,4470.56305216497,4241.55548925917,4058.35653232351,3894.62596281284,3790.96170034355,3746.75148025374,3727.52793047143,3724.34762304889
"3",4827.20672062003,4691.18968842063,4495.98152347906,4240.93816502273,4062.55442124057,3893.90768661434,3789.41968107858,3742.23274743131,3729.59548470833,3722.72178159153
"4",4856.23087276562,4720.21384056622,4517.07928142258,4243.91391037837,4058.76211751179,3889.91643397006,3788.70465902071,3741.31291062925,3721.70203343942,3718.90909714973
"5",4881.86113524593,4745.84410304653,4523.35008136435,4257.58396974399,4058.49662933524,3890.84696458762,3786.02871585249,3737.16152670338,3718.88518042836,3712.01147799836
"6",4908.22979090768,4770.35378300795,4530.59656796427,4262.05370753274,4048.38448667402,3883.08777342249,3784.51933421651,3731.60418409182,3707.61778621996,3700.76235655368
"7",4935.2956058226,4794.17443784504,4553.45609052268,4270.56762166622,4046.96408148313,3883.63545523161,3779.94296431851,3721.72128134214,3690.24876422589,3683.37506683771
"8",4960.46950176081,4816.97432388635,4572.34181286567,4271.09131254345,4034.86158392563,3871.92543085367,3774.83602188248,3711.08848619866,3671.82174849577,3657.3292294005
"9",4986.48256545703,4830.41422060768,4577.66733075745,4275.14182139289,4031.5422448109,3871.91297250106,3766.1294262698,3695.86298159039,3646.9166572511,3619.06967199117
